aze,950;LOG: 2023-03-24T05:23:25.284132300
qsd,980;LOG: 2023-03-24T05:23:25.285132100
qzd,950;LOG: 2023-03-24T05:36:52.114123500
qsd,930;LOG: 2023-03-24T05:36:52.115124300
aze,900;LOG: 2023-03-24T05:36:52.116124400
aze,850;LOG: 2023-03-24T05:37:15.366325800
qsd,880;LOG: 2023-03-24T05:37:15.368326
wxc,950;LOG: 2023-03-24T05:37:15.368326
aze,800;LOG: 2023-03-24T05:46:36.903129600
qzd,900;LOG: 2023-03-24T05:46:36.904129200
qzd,900;LOG: 2023-03-24T05:47:17.279125500
qsd,880;LOG: 2023-03-24T05:47:17.280126700
aze,800;LOG: 2023-03-24T05:47:17.280126700
qzd,900;LOG: 2023-03-24T05:47:19.198122700
qsd,880;LOG: 2023-03-24T05:47:19.198122700
aze,800;LOG: 2023-03-24T05:47:19.198122700
qzd,900;LOG: 2023-03-24T05:50:49.884126300
qsd,880;LOG: 2023-03-24T05:50:49.885127
aze,800;LOG: 2023-03-24T05:50:49.885127
qzd,900;LOG: 2023-03-24T05:51:02.285123200
qsd,880;LOG: 2023-03-24T05:51:02.285123200
aze,800;LOG: 2023-03-24T05:51:02.285123200
qzd,900;LOG: 2023-03-24T05:51:31.675129300
qsd,880;LOG: 2023-03-24T05:51:31.676129700
qzd,900;LOG: 2023-03-24T05:51:35.224310
qsd,880;LOG: 2023-03-24T05:51:35.224310
zd,1000;LOG: 2023-03-24T05:56:08.132716400
qsd,880;LOG: 2023-03-24T05:56:08.133716
zd,1000;LOG: 2023-03-24T05:56:09.445115600
qsd,880;LOG: 2023-03-24T05:56:09.446115900
qzd,900;LOG: 2023-03-24T05:59:32.092168900
qsd,880;LOG: 2023-03-24T05:59:32.093168800
q,1000;LOG: 2023-03-24T05:59:32.093168800
qzd,900;LOG: 2023-03-24T05:59:33.248329
qsd,880;LOG: 2023-03-24T05:59:33.248329
q,1000;LOG: 2023-03-24T05:59:33.248329
qzd,900;LOG: 2023-03-24T06:00:33.817137700
qsd,880;LOG: 2023-03-24T06:00:33.818139
qzd,900;LOG: 2023-03-24T06:00:41.194132200
qsd,880;LOG: 2023-03-24T06:00:41.194132200
qzd,900;LOG: 2023-03-24T06:00:54.108138
qzd,900;LOG: 2023-03-24T06:00:58.871121200
qzd,900;LOG: 2023-03-24T06:02:34.765232100
qsd,880;LOG: 2023-03-24T06:02:34.766232200
qzd,900;LOG: 2023-03-24T06:02:38.604273400
qsd,880;LOG: 2023-03-24T06:02:38.605274800
